"emotion","chi_square_statistic","p_value"
"anger",0.00430351631064698,0.997850555216686
"anticipation",0.000757468529059119,0.999621337446238
"disgust",0.000230559597523604,0.999884726845699
"fear",0.00296599821336432,0.998518099993105
"joy",0.00303133128015255,0.998485482401001
"negative",0.00255992760816111,0.998720855000205
"positive",0.00158362278468161,0.999208502007576
"sadness",0.000628864262599795,0.999685617297302
"surprise",0.000152184515155465,0.999923910637365
"trust",0.00353926093129353,0.998231934407127
